"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","559","Create user","LMS service","2026-06-16","passed","2026-06-16","Create entity","Users","",""
"","251","Get exercises","tests.exercises","2026-06-16","passed","2026-06-16","TestExercises","test_exercises","",""
"","11","Get exercise by id","tests.exercises","2026-06-16","passed","2026-06-16","TestExercises","test_exercises","",""
"","37","Update course","tests.courses","2026-06-16","passed","2026-06-16","TestCourses","test_courses","",""
"","335","Get file with incorrect file id","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","486","Create user","LMS service","2026-06-16","passed","2026-06-16","Create entity","Users","",""
"","242","Create file with empty directory","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","11","Get file","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","10","Get user me","LMS service","2026-06-16","passed","2026-06-16","Get entity","Users","",""
"","856","Create file","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","263","Create course","tests.courses","2026-06-16","passed","2026-06-16","TestCourses","test_courses","",""
"","22","Update exercise","tests.exercises","2026-06-16","passed","2026-06-16","TestExercises","test_exercises","",""
"","28","Delete exercise","tests.exercises","2026-06-16","passed","2026-06-16","TestExercises","test_exercises","",""
"","17","Delete file","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","245","Login with correct email and password","tests.authentication","2026-06-16","passed","2026-06-16","TestAuthentication","test_authentication","",""
"","482","Create user","LMS service","2026-06-16","passed","2026-06-16","Create entity","Users","",""
"","17","Create exercise","tests.exercises","2026-06-16","passed","2026-06-16","TestExercises","test_exercises","",""
"","17","Get courses","tests.courses","2026-06-16","passed","2026-06-16","TestCourses","test_courses","",""
"","14","Create file with empty filename","tests.files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
